id,type,tracks,duration,parent_created,parent_started,parent_completed,parent_queue,parent_run,operations,parent_day,parent_hour
59487819,edit,B,25200590,"2017-07-24 12:58:35","2017-07-24 12:58:44","2017-07-24 21:56:25",9,32261,39,2,12
59487824,edit,B,25200520,"2017-07-24 13:19:35","2017-07-24 13:19:40","2017-07-24 22:17:40",5,32280,39,2,13
59487828,publish,C,5100560,"2017-07-24 13:28:14","2017-07-24 13:28:20","2017-07-24 13:28:57",6,37,4,2,13
59487835,edit,B,25200480,"2017-07-24 13:30:23","2017-07-24 13:30:30","2017-07-24 22:23:26",7,31976,39,2,13
59487847,edit,C,25200480,"2017-07-24 13:41:26","2017-07-24 13:41:31","2017-07-25 01:41:23",5,43192,41,2,13
59488370,publish,B,5099920,"2017-07-24 14:00:52","2017-07-24 14:00:59","2017-07-24 17:23:59",7,12180,41,2,14
59489272,edit,B,3599937,"2017-07-24 19:01:24","2017-07-24 19:01:31","2017-07-24 20:18:33",7,4622,39,2,19
59489815,edit,B,10800380,"2017-07-25 08:49:57","2017-07-25 08:50:02","2017-07-25 12:40:34",5,13832,39,3,8
59489826,publish,B,25200440,"2017-07-25 09:33:07","2017-07-25 09:33:13","2017-07-25 18:53:38",6,33625,41,3,9
59489832,publish,B,25200440,"2017-07-25 09:38:46","2017-07-25 09:38:54","2017-07-25 15:44:41",8,21947,41,3,9
59489838,publish,C,25200600,"2017-07-25 09:49:18","2017-07-25 09:49:24","2017-07-26 01:49:20",6,57596,43,3,9
59489844,publish,B,25200400,"2017-07-25 10:03:24","2017-07-25 10:03:30","2017-07-25 16:28:12",6,23082,41,3,10
59490051,edit,C,16200168,"2017-07-25 11:08:43","2017-07-25 11:08:48","2017-07-25 17:21:55",5,22387,41,3,11
59490258,publish,B,10800200,"2017-07-25 13:07:36","2017-07-25 13:07:43","2017-07-25 18:04:45",7,17822,41,3,13
59497232,edit,C,9000164,"2017-07-25 20:38:46","2017-07-25 20:38:56","2017-07-26 00:23:16",10,13460,41,3,20
